(Corelare cu Mixul de Marketing)";Denumire elemente de casa;Nivel 1 de detaliere;Nivel 2 de detaliere;Nivel 3 de detaliere;Nivel 4 de detaliere;Grosime strat (mm);MP;Denumire în ofertă - RO;Cost/mp (euro fara tva);
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;45x100 C; 	100,00 ; 	1,00 ;Structură lemn C24 45x100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;45x150 C; 	150,00 ; 	1,00 ;Structură lemn C24 45x150 mm ;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;60x150 C; 	150,00 ; 	1,00 ;Structură lemn C24 60x150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;60x160 C; 	160,00 ; 	1,00 ;Structură lemn C24 60x160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;60x200 C; 	200,00 ; 	1,00 ;Structură lemn C24 60x200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;80x160 C; 	160,00 ; 	1,00 ;Structură lemn C24 80x160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;80x160 mix C+GL; 	160,00 ; 	1,00 ;Structură lemn mix C+GL24 80x160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_interioare_structura_PEp;OSB 12mm; 	12,00 ; 	1,00 ;OSB 3 12 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_interioare_structura_PEp;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_interioare_structura_PEp;FBV-montaj in fabrica ; 	-   ; 	1,00 ;Folie Barieră de Vapori;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 140mm; 	140,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 140 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 100mm; 	100,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 140mm; 	140,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 140 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 160mm; 	160,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 200mm; 	200,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 100mm; 	100,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 160mm; 	160,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 140 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 140mm; 	140,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 200mm; 	200,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;OSB 12mm; 	12,00 ; 	1,00 ;OSB 3 12 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;DHF 15mm; 	15,00 ; 	1,00 ;DHF 15 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;Rigistabil; 	12,50 ; 	1,00 ;Placă RigiStabil  12,5 mm;;
